name,owner_login,stargazerCount,forkCount,createdAt,updatedAt,primaryLanguage,pullRequests_totalCount,releases_totalCount,issues_closed_totalCount,issues_totalCount,diskUsage,defaultBranch_name,defaultBranch_commit_history_totalCount,license_spdxId,license_name,topics
angular,angular,100046,27097,2014-09-18T16:12:01Z,2026-02-26T00:11:38Z,TypeScript,5578,606,29351,30351,615027,,,MIT,MIT License,
awesome-mac,jaywcjlove,99317,7430,2016-07-17T15:33:47Z,2026-02-26T00:04:34Z,JavaScript,1072,13,378,508,27537,,,CC0-1.0,Creative Commons Zero v1.0 Universal,
clash-verge-rev,clash-verge-rev,98749,7214,2023-11-21T18:24:03Z,2026-02-26T00:41:17Z,TypeScript,739,62,4815,4967,73254,,,GPL-3.0,GNU General Public License v3.0,
HowToCook,Anduin2017,98229,10836,2020-02-29T10:43:49Z,2026-02-26T00:36:10Z,Dockerfile,613,4,364,826,465171,,,Unlicense,The Unlicense,
supabase,supabase,98165,11638,2019-10-12T05:56:49Z,2026-02-25T23:44:06Z,TypeScript,15455,25,4939,5209,2284200,,,Apache-2.0,Apache License 2.0,
material-ui,mui,97961,32731,2014-08-18T19:11:54Z,2026-02-25T22:38:41Z,JavaScript,21447,555,18743,20339,713418,,,MIT,MIT License,
every-programmer-should-know,mtdvio,97950,8646,2017-08-24T13:18:26Z,2026-02-25T23:30:58Z,,110,0,31,44,226,,,CC-BY-4.0,Creative Commons Attribution 4.0 International,
pytorch,pytorch,97763,26991,2016-08-13T05:26:41Z,2026-02-26T00:32:18Z,Python,6426,64,40892,56943,1252644,,,NOASSERTION,Other,
ant-design,ant-design,97661,54537,2015-04-24T15:37:24Z,2026-02-26T00:27:47Z,TypeScript,16996,740,31081,32370,255761,,,MIT,MIT License,
v2rayN,2dust,97403,14211,2019-07-30T03:47:24Z,2026-02-26T00:26:35Z,C#,377,297,6562,6577,45880,,,GPL-3.0,GNU General Public License v3.0,
awesome-llm-apps,Shubhamsaboo,97080,14123,2024-04-29T05:30:25Z,2026-02-26T00:35:18Z,Python,169,0,119,119,196680,,,Apache-2.0,Apache License 2.0,
neovim,neovim,96771,6600,2014-01-31T13:39:22Z,2026-02-26T00:38:40Z,Vim Script,17669,48,12076,13731,370581,,,NOASSERTION,Other,
llama.cpp,ggml-org,95883,15069,2023-03-10T18:58:00Z,2026-02-26T00:19:26Z,C++,7423,1000,6613,7032,313481,,,MIT,MIT License,
gemini-cli,google-gemini,95687,11651,2025-04-17T17:04:31Z,2026-02-25T23:44:44Z,TypeScript,5066,377,8390,10347,47172,,,Apache-2.0,Apache License 2.0,
